id,node,capacity (MW),offer ($/MW)
A4096_5,Central,9.400000000000006,32.07
A4096_6,Central,9.299999999999997,34.22
A4096_7,Central,9.399999999999991,36.36
A4097_0,Central,20.0,21.41
A4097_1,Central,9.2,23.51
A4097_2,Central,9.3,25.61
A4097_3,Central,9.299999999999997,27.71
A4097_4,Central,9.200000000000003,29.82
A4097_5,Central,9.200000000000003,31.93
A4097_6,Central,9.299999999999997,34.05
A4097_7,Central,9.299999999999997,36.16
A4101,Central,168.0,19.43
A4103,Central,320.0,18.98
A4104,Central,310.0,18.91
A4105,Central,23.0,88.4
A4106,Central,5.0,92.9
A4116_0,Central,55.0,16.07
A4116_1,Central,7.0,16.29
A4116_2,Central,20.0,21.93
A4117_0,Central,55.0,16.07
A4117_1,Central,7.0,16.29
A4117_2,Central,20.0,21.93
A4118_0,Central,55.0,16.07
A4118_1,Central,7.0,16.29
A4118_2,Central,20.0,21.93
A4119_0,Central,55.0,16.07
A4119_1,Central,7.0,16.29
A4119_2,Central,20.0,21.93
A4120,Central,19.0,147.81
A4121,Central,19.0,147.81
A4123,Central,20.0,147.83
A4154_0,Central,5.5,0.07
A4154_1,Central,0.09999999999999964,0.09
A4155_0,Central,5.4,0.07
A4155_1,Central,0.09999999999999964,0.09
A4156_0,Central,16.0,26.39
A4156_1,Central,3.1000000000000014,27.06
A4156_2,Central,3.099999999999998,27.73
A4156_3,Central,3.1000000000000014,28.4
A4156_4,Central,3.099999999999998,29.07
A4156_5,Central,3.200000000000003,29.77
A4156_6,Central,3.1000000000000014,30.44
A4156_7,Central,3.0999999999999943,31.11
A4156_8,Central,3.1000000000000014,31.78
A4157_0,Central,16.0,22.43
A4157_1,Central,3.1000000000000014,23.28
A4157_2,Central,3.099999999999998,24.14
A4157_3,Central,3.1000000000000014,24.99
A4157_4,Central,3.099999999999998,25.85
A4157_5,Central,3.200000000000003,26.73
A4157_6,Central,3.1000000000000014,27.58
A4157_7,Central,3.0999999999999943,28.43
A4157_8,Central,3.1000000000000014,29.29
A4158_0,Central,50.0,24.84
A4158_1,Central,3.3999999999999986,25.04
A4158_2,Central,3.5,25.25
A4158_3,Central,3.3999999999999986,25.46
A4158_4,Central,3.5,25.67
A4158_5,Central,3.4000000000000057,25.87
A4158_6,Central,3.5,26.08
A4158_7,Central,3.3999999999999915,26.28
A4158_8,Central,3.5,26.49
A4173_0,Central,67.0,19.46
A4173_1,Central,5.700000000000003,19.73
A4173_2,Central,5.599999999999994,20.35
A4173_3,Central,5.700000000000003,21.34
A4173_4,Central,5.700000000000003,22.69
A4173_5,Central,5.599999999999994,24.36
A4174_0,Central,67.0,19.46
A4174_1,Central,5.700000000000003,19.73
A4174_2,Central,5.599999999999994,20.35
A4174_3,Central,5.700000000000003,21.34
A4174_4,Central,5.700000000000003,22.69
A4174_5,Central,5.599999999999994,24.36
A4175_0,Central,67.0,19.46
A4175_1,Central,5.700000000000003,19.73
A4175_2,Central,5.599999999999994,20.35
A4175_3,Central,5.700000000000003,21.34
A4175_4,Central,5.700000000000003,22.69
A4175_5,Central,5.599999999999994,24.36
A4176_0,Central,67.0,19.46
A4176_1,Central,5.700000000000003,19.73
A4176_2,Central,5.599999999999994,20.35
A4176_3,Central,5.700000000000003,21.34
A4176_4,Central,5.700000000000003,22.69
A4176_5,Central,5.599999999999994,24.36
A4182_0,Central,31.7,89.4
A4182_1,Central,5.5000000000000036,89.65
A4182_2,Central,5.599999999999994,90.44
A4182_3,Central,5.5,91.74
A4182_4,Central,5.600000000000001,93.6
A4182_5,Central,5.5,95.95
A4183_0,Central,31.7,89.4
A4183_1,Central,5.5000000000000036,89.65
A4183_2,Central,5.599999999999994,90.44
A4183_3,Central,5.5,91.74
A4183_4,Central,5.600000000000001,93.6
A4183_5,Central,5.5,95.95
A4184_0,Central,31.7,89.4
A4184_1,Central,5.5000000000000036,89.65
A4184_2,Central,5.599999999999994,90.44
A4184_3,Central,5.5,91.74
A4184_4,Central,5.600000000000001,93.6
A4184_5,Central,5.5,95.95
A4197_0,Central,80.0,16.43
A4197_1,Central,24.900000000000006,16.49
A4197_2,Central,24.900000000000006,16.55
A4197_3,Central,24.899999999999977,16.61
A4197_4,Central,24.900000000000006,16.67
A4197_5,Central,24.80000000000001,16.73
A4197_6,Central,24.900000000000006,16.8
A4197_7,Central,24.899999999999977,16.86
A4197_8,Central,24.900000000000034,16.92
A4198_0,Central,80.0,16.43
A4198_1,Central,25.700000000000003,16.49
A4198_2,Central,25.60000000000001,16.55
A4198_3,Central,25.69999999999999,16.61
A4198_4,Central,25.69999999999999,16.68
A4198_5,Central,25.600000000000023,16.74
A4198_6,Central,25.69999999999999,16.81
A4198_7,Central,25.69999999999999,16.87
A4198_8,Central,25.600000000000023,16.94
A4221,Central,600.0,0.0
A4222,Central,15.0,255.0
A4230_0,Central,23.0,17.46
A4230_1,Central,11.799999999999997,17.64
A4230_2,Central,11.800000000000004,17.84
A4230_3,Central,11.699999999999996,18.08
A4230_4,Central,11.799999999999997,18.34
A4230_5,Central,11.800000000000011,18.63
A4230_6,Central,11.799999999999997,18.95
A4230_7,Central,11.700000000000003,19.3
A4230_8,Central,11.799999999999997,19.68
A4236_0,Central,182.7,11.98
A4236_1,Central,11.200000000000017,12.01
A4236_2,Central,11.199999999999989,12.1
A4236_3,Central,11.200000000000017,12.27
A4236_4,Central,11.299999999999983,12.51
A4236_5,Central,11.200000000000017,12.81
A4240,Central,12.4,-34.36
A4259_0,Central,22.0,21.88
A4259_1,Central,6.399999999999999,22.48
A4259_2,Central,6.300000000000004,23.08
A4259_3,Central,6.399999999999999,23.69
A4259_4,Central,6.299999999999997,24.29
A4259_5,Central,6.399999999999999,24.89
A4259_6,Central,6.300000000000004,25.49
A4259_7,Central,6.399999999999999,26.1
A4259_8,Central,6.299999999999997,26.7
A4261_0,Central,4.0,36.67
A4261_1,Central,1.7000000000000002,37.55
A4261_2,Central,1.5999999999999996,38.38
A4261_3,Central,1.7000000000000002,39.26
A4261_4,Central,1.6999999999999993,40.13
A4261_5,Central,1.6000000000000014,40.96
A4261_6,Central,1.6999999999999993,41.84
A4261_7,Central,1.6999999999999993,42.72
A4261_8,Central,1.6000000000000014,43.55
A4262_0,Central,17.0,22.77
A4262_1,Central,0.3999999999999986,22.81
A4262_2,Central,0.5,22.87
A4262_3,Central,0.40000000000000213,22.91
A4262_4,Central,0.5,22.97
A4262_5,Central,0.3999999999999986,23.01
A4262_6,Central,0.5,23.07
A4262_7,Central,0.40000000000000213,23.11
A4262_8,Central,0.5,23.17
A4268_0,Central,0.1,18.83
A4268_1,Central,51.9,23.07
A4268_2,Central,6.0,23.56
A4268_3,Central,6.0,24.05
A4268_4,Central,6.0,24.54
A4268_5,Central,6.0,25.03
A4268_6,Central,6.0,25.52
A4268_7,Central,6.0,26.01
A4268_8,Central,6.0,26.5
A4282,Central,20.0,56.5
A4368,North,180.0,10.46
A4373_0,Central,100.0,15.28
A4373_1,Central,9.799999999999997,15.68
A4373_2,Central,9.700000000000003,16.09
A4373_3,Central,9.699999999999989,16.49
A4373_4,Central,9.800000000000011,16.89
A4373_5,Central,9.800000000000011,17.29
A4373_6,Central,9.699999999999989,17.69
A4373_7,Central,9.699999999999989,18.09
A4377_0,Central,7.0,45.71
A4377_1,Central,8.0,51.13
A4377_2,Central,4.0,55.74
A4378_0,Central,10.0,35.28
A4378_1,Central,46.0,47.87
A4386_0,North,32.0,16.23
A4386_1,North,2.0,16.32
A4386_2,North,2.0,16.42
A4386_3,North,2.0,16.51
A4386_4,North,2.0,16.61
A4386_5,North,2.0,16.7
A4386_6,North,2.0,16.8
A4386_7,North,2.0,16.89
A4387_0,North,32.0,16.23
A4387_1,North,2.0,16.32
A4387_2,North,2.0,16.42
A4387_3,North,2.0,16.51
A4387_4,North,2.0,16.61
A4387_5,North,2.0,16.7
A4387_6,North,2.0,16.8
A4387_7,North,2.0,16.89
A4390_0,North,28.0,16.04
A4390_1,North,2.5,16.16
A4390_2,North,2.5,16.27
A4390_3,North,2.5,16.39
A4390_4,North,2.5,16.51
A4390_5,North,2.5,16.63
A4390_6,North,2.5,16.75
A4390_7,North,2.5,16.87
A4412,Central,3.0,22.85
A4430,North,999.0,0.0
A4433,North,999.0,0.0
A4434,North,999.0,0.0
A4437,North,57.0,0.0
A4438,North,122.0,0.0
A4440,North,88.5,0.0
A4441,North,154.2,0.0
A4442,North,8.2,0.0
A4489,Central,191.0,59.4
A4491,Central,382.0,54.28
A4493,Central,382.0,54.28
A4500_0,Central,497.0,13.19
A4500_1,Central,100.0,18.61
A4528_0,North,11.0,18.94
A4528_1,North,4.0,19.37
A4528_2,North,4.0,19.8
A4528_3,North,4.0,20.23
A4528_4,North,4.0,20.66
A4529_0,North,11.0,18.95
A4529_1,North,4.0,19.38
A4529_2,North,4.0,19.81
A4529_3,North,4.0,20.24
A4529_4,North,4.0,20.67
A4557,North,0.1,-35.08
A4558_0,North,1.0,7.2
A4558_1,North,279.0,14.8
A4570_0,North,158.0,8.86
A4570_1,North,17.5,9.06
A4570_2,North,17.5,9.26
A4570_3,North,17.5,9.46
A4570_4,North,17.5,9.66
A4570_5,North,30.0,10.0
A4570_6,North,5.0,12.62
A4570_7,North,17.5,13.36
A4571_0,North,158.0,8.86
A4571_1,North,17.5,9.06
A4571_2,North,17.5,9.26
A4571_3,North,17.5,9.46
A4571_4,North,17.5,9.66
A4571_5,North,30.0,10.0
A4571_6,North,5.0,12.62
A4571_7,North,17.5,13.36
A4583_0,North,7.0,181.96
A4583_1,North,0.2999999999999998,182.93
A4587,North,6.3,-2.0
A4588,North,200.0,0.0
A4602,North,4.8,-2.0
A4608,North,4.0,60.24
A4611,North,6.0,178.75
A4612,North,15.0,70.89
A4621,North,10.0,0.0
A4626_0,Central,171.0,5.6
A4626_1,Central,0.09999999999999432,100.0
A4639_0,Central,13.7,-48.73
A4639_1,Central,1.0,-48.72
A4683,North,5.0,161.11
A4727_0,Central,50.0,39.11
A4727_1,Central,8.0,39.28
A4727_2,Central,7.0,39.46
A4727_3,Central,8.0,39.64
A4727_4,Central,7.0,39.82
A4728_0,Central,50.0,39.11
A4728_1,Central,8.0,39.28
A4728_2,Central,7.0,39.46
A4728_3,Central,8.0,39.64
A4728_4,Central,7.0,39.82
A4731_0,Central,50.0,39.11
A4731_1,Central,8.0,39.28
A4731_2,Central,7.0,39.46
A4731_3,Central,8.0,39.64
A4731_4,Central,7.0,39.82
A4732_0,Central,50.0,39.11
A4732_1,Central,8.0,39.28
A4732_2,Central,7.0,39.46
A4732_3,Central,8.0,39.64
A4732_4,Central,7.0,39.82
A4733_0,Central,50.0,39.11
A4733_1,Central,8.0,39.28
A4733_2,Central,7.0,39.46
A4733_3,Central,8.0,39.64
A4733_4,Central,7.0,39.82
A4734_0,Central,50.0,39.11
A4734_1,Central,8.0,39.28
A4734_2,Central,7.0,39.46
A4734_3,Central,8.0,39.64
A4734_4,Central,7.0,39.82
A4762_0,Central,161.0,17.04
A4762_1,Central,25.19999999999999,17.2
A4762_2,Central,25.100000000000023,17.35
A4762_3,Central,25.19999999999999,17.51
A4762_4,Central,25.100000000000023,17.67
A4762_5,Central,25.19999999999999,17.82
A4762_6,Central,25.099999999999966,17.98
A4762_7,Central,25.200000000000045,18.14
A4762_8,Central,25.099999999999966,18.29
A4783_0,North,3.0,169.12
A4783_1,North,1.0,172.33
A4800_0,Central,69.0,9.71
A4800_1,Central,61.0,9.73
A4819,Central,5.0,22.85
A4830_0,North,80.0,18.89
A4830_1,North,8.400000000000006,19.2
A4830_2,North,8.399999999999991,19.52
A4830_3,North,8.400000000000006,19.83
A4830_4,North,8.399999999999991,20.15
A4830_5,North,8.400000000000006,20.46
A4830_6,North,8.400000000000006,20.77
A4830_7,North,8.400000000000006,21.09
A4830_8,North,8.399999999999977,21.4
A5247_0,Central,200.0,24.0
A5247_1,Central,1.0,45.0
A5247_2,Central,24.0,46.0
A5248_0,Central,200.0,24.0
A5248_1,Central,1.0,45.0
A5248_2,Central,24.0,46.0
A5258_0,Central,1.0,13.95
A5258_1,Central,614.1,14.8
A5258_2,Central,4.899999999999977,14.81
A5259_0,Central,1.0,12.46
A5259_1,Central,614.1,14.81
A5259_2,Central,4.899999999999977,14.83
A5260_0,Central,1.0,12.17
A5260_1,Central,619.0,13.96
A5261_0,Central,1.0,12.54
A5261_1,Central,619.0,13.54
A5262_0,Central,1.0,12.98
A5262_1,Central,499.0,14.73
A5262_2,Central,120.0,15.15
A5263_0,Central,1.0,12.71
A5263_1,Central,629.0,14.53
A5266_0,Central,1.0,20.91
A5266_1,Central,129.0,24.94
A5267_0,Central,1.0,20.91
A5267_1,Central,129.0,24.94
A5268_0,Central,1.0,22.91
A5268_1,Central,269.0,27.88
A5269_0,Central,1.0,24.1
A5269_1,Central,319.0,26.06
A5288_0,Central,1.0,105.99
A5288_1,Central,56.0,139.45
A5291_0,Central,1.0,65.33
A5291_1,Central,56.0,119.4
A5292_0,Central,1.0,75.1
A5292_1,Central,56.0,114.32
A5293_0,Central,1.0,93.33
A5293_1,Central,56.0,101.12
A5299_0,Central,1.0,20.31
A5299_1,Central,94.0,38.49
A5300_0,Central,1.0,20.31
A5300_1,Central,94.0,38.49
A5305_0,Central,1.0,26.68
A5305_1,Central,134.0,36.0
A5306_0,Central,1.0,26.68
A5306_1,Central,134.0,36.0
A5307_0,Central,1.0,22.74
A5307_1,Central,44.0,28.12
A5308_0,Central,1.0,22.74
A5308_1,Central,44.0,28.12
A5309_0,Central,1.0,22.74
A5309_1,Central,44.0,28.12
A5310_0,Central,1.0,22.74
A5310_1,Central,44.0,28.12
A5311_0,Central,1.0,20.69
A5311_1,Central,47.0,28.18
A5312_0,Central,1.0,20.69
A5312_1,Central,47.0,28.18
A5313_0,Central,1.0,20.69
A5313_1,Central,47.0,28.18
A5314_0,Central,1.0,20.69
A5314_1,Central,47.0,28.18
A5317_0,Central,1.0,30.23
A5317_1,Central,134.0,37.94
A5319,Central,60.0,33.89
A5320_0,Central,1.0,20.14
A5320_1,Central,94.0,38.53
A5321_0,Central,1.0,20.14
A5321_1,Central,94.0,38.53
A5322_0,Central,1.0,20.14
A5322_1,Central,94.0,38.53
A5323_0,Central,1.0,20.14
A5323_1,Central,94.0,38.53
A5325,Central,95.0,31.25
A5326,Central,95.0,31.25
A5327,Central,95.0,31.25
A5328,Central,95.0,31.25
A5329,Central,95.0,31.25
A5330,Central,95.0,31.25
A5331,Central,95.0,31.25
A5332,Central,95.0,31.25
A5343_0,Central,125.0,12.78
A5343_1,Central,50.0,13.29
A5343_2,Central,50.0,13.8
A5343_3,Central,75.0,14.57
A5343_4,Central,75.0,15.34
A5343_5,Central,75.0,16.11
A5343_6,Central,75.0,16.88
A5343_7,Central,25.0,34.14
A5343_8,Central,35.0,34.49
A5353,Central,2.2,206.36
A5354,Central,4.7,206.36
A5355,Central,2.4,206.36
A5357,Central,21.0,206.36
A5358,Central,8.4,206.36
A5359,Central,1.3,206.36
A5360,Central,5.5,206.36
A5362,Central,13.9,206.36
A5363,Central,7.0,206.36
A5365,Central,5.8,206.36
A5366,Central,11.7,206.36
A5369,Central,19.3,206.36
A5370,Central,5.5,206.36
A5371,Central,4.0,206.36
A5372,Central,9.9,206.36
A5374,Central,25.0,100.0
A5375,Central,17.0,73.0
A5376,Central,21.0,92.0
A5377,Central,25.0,100.0
A5378,Central,16.0,73.0
A5380,Central,17.0,239.0
A5385_0,Central,42.0,25.44
A5385_1,Central,1.0,25.49
A5386_0,Central,42.0,23.85
A5386_1,Central,1.0,23.86
A5387_0,Central,42.0,24.12
A5387_1,Central,1.0,24.14
A5388_0,Central,42.0,23.88
A5388_1,Central,1.0,23.89
A5389_0,Central,42.0,23.54
A5389_1,Central,1.0,23.55
A5390_0,Central,42.0,23.72
A5390_1,Central,1.0,23.74
A5391_0,Central,42.0,22.69
A5391_1,Central,1.0,22.72
A5392_0,Central,42.0,23.84
A5392_1,Central,1.0,23.86
A5393,Central,44.9,61.63
A5410,Central,1086.0,0.0
A5420_0,Central,230.0,16.05
A5420_1,Central,40.0,16.35
A5420_2,Central,40.0,16.65
A5420_3,Central,40.0,16.95
A5420_4,Central,40.0,17.26
A5420_5,Central,40.0,17.56
A5420_6,Central,40.0,17.86
A5420_7,Central,40.0,18.16
A5420_8,Central,40.0,35.47
A5422_0,Central,230.0,15.58
A5422_1,Central,41.0,16.1
A5422_2,Central,41.0,16.63
A5422_3,Central,41.0,17.15
A5422_4,Central,41.0,17.68
A5422_5,Central,41.0,18.2
A5422_6,Central,41.0,18.73
A5422_7,Central,41.0,19.25
A5422_8,Central,41.0,19.78
A5427_0,Central,135.0,14.24
A5427_1,Central,21.69999999999999,14.61
A5427_2,Central,21.700000000000017,14.98
A5427_3,Central,21.69999999999999,15.35
A5427_4,Central,21.700000000000017,15.72
A5427_5,Central,21.69999999999999,16.09
A5427_6,Central,21.69999999999999,16.46
A5427_7,Central,21.69999999999999,16.83
A5427_8,Central,21.700000000000045,17.2
A5433_0,Central,320.0,14.32
A5433_1,Central,103.0,14.37
A5433_2,Central,39.0,14.42
A5433_3,Central,1.0,18.74
A5433_4,Central,108.0,26.94
A5435_0,Central,188.0,11.29
A5435_1,Central,56.0,11.41
A5435_2,Central,11.0,21.44
A5436,Central,145.0,0.0
A5438_0,Central,3.0,1.0
A5438_1,Central,247.0,24.99
A5445_0,North,10.0,79.62
A5445_1,North,1.3000000000000007,81.2
A5464,Central,6.0,0.01
A5504,North,4.0,-10.0
A5506,North,30.0,0.0
A5507,North,0.1,-1.0
A5508,North,30.0,0.0
A5511,North,50.0,-35.51
A5538_0,North,6.0,74.78
A5538_1,North,1.2000000000000002,76.23
A5540_0,North,6.0,161.44
A5540_1,North,1.4000000000000004,161.89
A5541_0,North,5.0,69.53
A5541_1,North,0.40000000000000036,69.98
A5542_0,North,113.0,18.5
A5542_1,North,51.0,19.05
A5542_2,North,39.0,19.48
A5542_3,North,39.0,19.9
A5542_4,North,39.0,20.32
A5542_5,North,39.0,20.75
A5542_6,North,39.0,21.17
A5542_7,North,14.0,21.32
A5543,North,540.0,7.6
A5548,North,25.0,300.0
A5549,North,25.0,300.0
A5588_0,Central,330.0,8.74
A5588_1,Central,10.300000000000011,8.83
A5588_2,Central,190.2,12.87
A5588_3,Central,49.89999999999998,15.87
A5588_4,Central,0.10000000000002274,37.87
A5616,Central,121.8,0.0
A5640_0,North,45.0,0.0
A5640_1,North,1.0,12.0
A5641_0,North,52.5,12.48
A5641_1,North,10.5,12.57
A5641_2,North,10.5,12.65
A5641_3,North,10.5,12.74
A5641_4,North,10.5,12.82
A5641_5,North,10.5,12.91
A5641_6,North,10.5,12.99
A5641_7,North,10.5,13.08
A5641_8,North,10.5,13.16
A5647_0,North,263.7,18.41
A5647_1,North,87.90000000000003,18.72
A5647_2,North,32.0,19.36
A5647_3,North,15.899999999999977,19.79
A5647_4,North,40.0,21.16
A5647_5,North,24.0,22.19
A5648_0,North,66.3,18.41
A5648_1,North,22.10000000000001,18.72
A5648_2,North,8.0,19.36
A5648_3,North,4.099999999999994,19.79
A5648_4,North,10.0,21.16
A5648_5,North,6.0,22.19
A5657,North,0.1,0.01
A5663,North,0.1,0.0
A5673,North,190.0,13.54
A5674,North,190.0,13.54
A5679_0,North,5.0,0.1
A5679_1,North,5.0,0.15
A5692,North,1.0,-34.33
A5693,North,1.8,0.0
A5694,North,1.8,0.0
A5695,North,1.8,0.0
A5696,North,12.0,0.0
A5699,North,50.0,0.0
A5701,North,20.0,0.0
A5702,North,8.4,0.0
A5704,North,2.0,0.0
A5707_0,Central,1192.0,12.21
A5707_1,Central,124.0,16.42
A5707_2,Central,1.0,16.43
A5707_3,Central,126.0,17.48
A5707_4,Central,75.0,22.19
A5707_5,Central,15.0,32.08
A5707_6,Central,12.0,37.6
A5725_0,Central,0.1,16.9
A5725_1,Central,244.6,16.97
A5725_2,Central,179.5,18.76
A5725_3,Central,65.30000000000001,22.55
A5725_4,Central,40.700000000000045,47.48
A5726_0,Central,55.4,17.66
A5726_1,Central,40.6,19.46
A5726_2,Central,14.799999999999997,23.25
A5726_3,Central,9.200000000000003,48.17
A5727_0,Central,0.1,17.6
A5727_1,Central,244.6,17.66
A5727_2,Central,179.5,19.46
A5727_3,Central,65.30000000000001,23.25
A5727_4,Central,40.700000000000045,48.17
A5728_0,Central,55.4,16.97
A5728_1,Central,40.6,18.76
A5728_2,Central,14.799999999999997,22.55
A5728_3,Central,9.200000000000003,47.48
A5739_0,Central,69.0,20.95
A5739_1,Central,96.6,21.09
A5773,Central,2.0,80.0
A5783,Central,0.8,0.0
A5807,North,102.0,-1.0
A5811_0,North,1.0,-50.0
A5811_1,North,8.0,0.0
A5811_2,North,8.0,6.0
A5821,North,12.7,-2.0
A5833,North,0.1,-0.5
A5840,North,8.8,0.0
A5842_0,North,10.0,150.0
A5842_1,North,1.0,151.0
A5842_2,North,1.0,152.0
A5842_3,North,1.0,153.0
A5843_0,North,3.0,160.0
A5843_1,North,1.0,161.0
A5845,North,4.5,0.0
A5846,Central,34.0,43.81
A5856,Central,999.0,-24.45
A5869_0,North,1.0,9.28
A5869_1,North,218.0,9.32
A5869_2,North,39.0,9.37
A5869_3,North,1.0,12.51
A5869_4,North,44.0,13.03
A5870_0,North,1.0,9.08
A5870_1,North,218.0,9.12
A5870_2,North,1.0,9.16
A5870_3,North,38.0,9.17
A5870_4,North,1.0,12.31
A5870_5,North,44.0,12.83
A5876,Central,68.0,-2.0
A5900,North,0.1,-29.61
A5905_0,North,0.1,66.0
A5905_1,North,15.9,66.66
A5906,North,10.0,0.0
A5907,North,100.0,0.0
A5920,Central,100.0,-1.0
A5935_0,Central,312.4,12.45
A5935_1,Central,87.60000000000002,13.04
A5935_2,Central,0.10000000000002274,13.83
A5935_3,Central,205.0,15.78
A5951,North,19.1,-2.0
A5952,North,10.9,-2.0
A5953,North,140.0,0.0
A5954,North,5.0,175.54
A5962_0,North,103.4,26.03
A5962_1,North,9.399999999999991,26.18
A5962_2,North,9.400000000000006,26.33
A5962_3,North,9.399999999999991,26.48
A5962_4,North,9.400000000000006,26.63
A5962_5,North,9.400000000000006,26.78
A5962_6,North,9.400000000000006,26.93
A5962_7,North,9.399999999999977,27.08
A5962_8,North,9.400000000000006,27.23
A5970,North,40.0,0.0
A5977,North,180.0,0.0
A5995_0,Central,275.0,12.52
A5995_1,Central,125.0,14.19
A5995_2,Central,25.0,15.71
A5995_3,Central,25.0,17.69
A5995_4,Central,25.0,19.88
A5995_5,Central,50.0,21.5
A5997_0,Central,90.0,16.66
A5997_1,Central,11.200000000000003,17.29
A5997_2,Central,11.299999999999997,17.91
A5997_3,Central,11.299999999999997,18.53
A5997_4,Central,11.200000000000003,19.16
A5997_5,Central,11.199999999999989,19.78
A5997_6,Central,11.300000000000011,20.41
A5997_7,Central,11.300000000000011,21.03
A5998_0,Central,89.0,16.12
A5998_1,Central,11.0,16.7
A5998_2,Central,11.0,17.29
A5998_3,Central,11.0,17.88
A5998_4,Central,11.0,18.46
A5998_5,Central,11.0,19.05
A5998_6,Central,11.0,19.64
A5998_7,Central,11.0,20.23
A6004_0,Central,20.0,45.6
A6004_1,Central,5.0,48.65
A6004_2,Central,5.0,49.04
A6004_3,Central,5.0,49.77
A6004_4,Central,5.0,49.83
A6004_5,Central,15.0,50.33
A6022_0,Central,114.0,20.0
A6022_1,Central,8.0,20.25
A6022_2,Central,8.0,20.5
A6022_3,Central,10.0,20.75
A6022_4,Central,10.0,21.0
A6026,North,155.0,0.0
A6027_0,North,1.0,-50.0
A6027_1,North,11.0,0.0
A6027_2,North,11.0,6.0
A6035_0,North,15.0,206.58
